stage_index,stage_name,i,x[m],dx[m],qprime[W/m],UA_prime[W/K/m],Tgw[K],Tww[K],boiling,gas_T[K],gas_P[Pa],water_h[J/kg],water_P[Pa],water_T[K],water_x[-]
4,HX_5,39,4.058888888888889,0.10407407407407408,218181.16284248323,197.55649649535545,1011.3641998352175,1011.3641998352175,True,1531.9322056722615,115000.0,652094.4316871071,1000000,427.674057002354,
4,HX_5,40,4.162962962962963,0.10407407407407408,217722.7557333822,197.54458146551121,1010.6634576561653,1010.6634576561654,True,1530.2040292866095,115000.0,654365.1319374307,1000000,428.19950045072807,
4,HX_5,41,4.267037037037038,0.10407407407407408,217265.3187119458,197.53267950910035,1009.9640281091166,1009.9640281091167,True,1528.4791365377976,115000.0,656631.0613582114,1000000,428.723661781346,
4,HX_5,42,4.371111111111111,0.10407407407407408,216808.84984369282,197.520790635365,1009.2659083863073,1009.2659083863073,True,1526.7575212201862,115000.0,658892.2300455469,1000000,429.24654336077174,
4,HX_5,43,4.475185185185185,0.10407407407407408,216353.3471973787,197.508914853471,1008.5690956866779,1008.569095686678,True,1525.039177139537,115000.0,661148.6480754017,1000000,429.76814755361613,
4,HX_5,44,4.57925925925926,0.10407407407407408,215898.80884499516,197.49705217250946,1007.8735872158628,1007.8735872158627,True,1523.3240981129957,115000.0,663400.325503641,1000000,430.2884767225258,
4,HX_5,45,4.683333333333334,0.10407407407407408,215445.2328617648,197.4852026014939,1007.1793801861636,1007.1793801861635,True,1521.6122779690695,115000.0,665647.2723660648,1000000,430.8075332281728,
4,HX_5,46,4.787407407407408,0.10407407407407408,214992.61732614067,197.47336614936222,1006.4864718165381,1006.4864718165381,True,1519.9037105476114,115000.0,667889.4986784409,1000000,431.3253194292435,
4,HX_5,47,4.891481481481482,0.10407407407407408,214540.96031980158,197.46154282497375,1005.7948593325784,1005.7948593325785,True,1518.1983896998013,115000.0,670127.0144365389,1000000,431.84183768242923,
4,HX_5,48,4.995555555555556,0.10407407407407408,214090.25992765062,197.4497326371111,1005.1045399664956,1005.1045399664955,True,1516.4963092881253,115000.0,672359.8296161635,1000000,432.35709034241626,
4,HX_5,49,5.09962962962963,0.10407407407407408,213640.5142378106,197.4379355944779,1004.4155109571011,1004.4155109571012,True,1514.79746318636,115000.0,674587.9541731883,1000000,432.8710797618777,
